 ,English,Swedish,French,Italian,German,Spanish,Russian,Romanian,Bulgarian,Macedonian,Finnish,Danish,Icelandic,Turkish,Lithuanian,Czech,Hungarian,Polish,Dutch,Portuguese_European,Portuguese_Brazilian,Chinese,Japanese,Korean
menu_communityserver,Community Server,Community server,Serveur communautaire,Server della community,Community Server,Servidor comunitario,Сервер сообщества,Server comunitate,Публичен  сървър,Јавен сервер,,,Samfélagsnetþjónn,Topluluk Sunucusu,,,Közösségi szerver,Serwer społecznościowy,Communityserver,Servidor da comunidade,Servidor da comunidade,社区服务器,コミュニティサーバー,커뮤니티 서버
menu_friends,Friends,Vänner,Amis,Amici,Freunde,Amigos,Друзья,Prieteni,Приятели,Пријатели,,,Vinir,Arkadaşlar,,,Barátok,Znajomi,Vrienden,Amigos,Amigos,好友,フレンド,친구
menu_passwordshort,The password is too short,Lösenordet är för kort,Mot de passe trop court,Password troppo corta,Passwort zu kurz,La contraseña es muy corta,Пароль слишком короткий,Parola prea scurta,Парола твърде кратка,Кратка лозинка,,,Lykilorð of stutt,Şifre çok kısa,,,A jelszó túl rövid,Hasło jest za krótkie,Wachtwoord is te kort,Password demasiado curta,Senha muito curta,密码太短,パスワードが短すぎます,비밀번호가 너무 짧습니다
menu_passwordinvalid,Invalid password,Ogilitgt lösenord,Mot de passe incorrect,Password non valida,Falsches Passwort,Contraseña no válida,Неверный пароль,Parola invalida,Грешна парола,Погрешна лозинка,,,Ógilt lykilorð,Geçersiz şifre,,,Érvénytelen jelszó,Niewłaściwe hasło,Ongeldig wachtwoord,Password inválida,Senha inválida,密码无效,パスワードが無効です,유효하지 않은 비밀번호
menu_community,Community,Community,Communauté,Community,Community,Comunidad,Сообщество,Comunitate,Общество,Заедница,,,Samfélag,Topluluk,,,Közösség,Społeczność,Community,Comunidade,Comunidade,社区,コミュニティ,커뮤니티
menu_newworld,New World,Ny värld,Nouveau monde,Nuovo mondo,Neue Welt,Mundo nuevo,Новый мир,Lume noua,Нов свят,Нов свет,Uusi maailma,Ny verden,Nýr heimur,Yeni Dünya,Naujas pasaulis,Nový svět,Új világ,Nowy świat,Nieuwe wereld,Novo mundo,Novo mundo,新建世界,新しいワールド,새로운 세계
menu_seed,Seed,Frö,Seed,Seed,Seed,Seed,Зерно,Seed,Семе,Код,Siemen,Seed,Fræ,Tohum,Sėkla,Seed,Mag,Seed,Seed,Semear,Seed,种子,シード,시드
menu_entername,Enter Name,Skriv in namn,Entrez un nom,Inserisci nome,Namen eingeben,Escribir nombre,Введите имя,Introdu nume,Въведи име,Внеси име,Kirjoita nimi,Skriv navn,Slá inn nafn,İsim Gir,Įvesti vardą,Zadejte jméno,Név megadása,Wprowadź nazwę,Naam invoeren,Introduz o nome,Digitar nome,输入昵称,名前を入力,이름 입력
menu_enterseed,Enter Seed,Skriv in frö,Entrez la seed,Inserisci seed,Seed eingeben,Insertar seed,Задайте зерно,Introdu samanta,Въведи семе,Внеси код,Kirjoita siemen,Skriv Seed,Slá inn fræ,Dünya Kodu (Seed) Gir,Įvesti sėklą,Zadejte seed,Mag megadása,Wprowadź seed mapy,Seed invoeren,Introduz a semente,Digitar seed,输入种子,シードを入力,시드 입력
menu_worldnametip,5 characters minimum,Minst 5 bokstäver,5 caractères minimum,Minimo 5 lettere,Mindestens 5 Zeichen,Mínimo 5 caracteres,Минимум 5 символов,Minim 5 caractere,Минимално 5 букви,Минимум 5 букви,Vähintään viisi merkkiä,Mindst 5 bogstaver,Að minnsta kosti 5 stafir,Minimum 5 karakter,Mažiausiai 5 simboliai,Min. pět znaků,Legalább 5 karakter,Min. 5 znaków,Min. 5 tekens,Mínimo 5 caracteres,Mínimo de 5 caracteres,至少5个字母,5文字以上,최소 5글자
menu_selectserver,Select Server,Välj server,Choisir un serveur,Seleziona server,Server auswählen,Elegir servidor,Выбор сервера,Alege un server,Избери сървър,Избери сервер,Valitse palvelin,Vælge server,Velja netþjón,Sunucu Seç,Pasirinkti serverį,Zvolte server,Szerver kiválasztása,Wybierz serwer,Server selecteren,Selecionar o servidor,Selecionar servidor,选择服务器,サーバー選択,서버 선택
menu_connect,Connect,Anslut,Se connecter,Connetti,Verbinden,Conectar,Подключиться,Conectare,Свързване,Поврзи се,Yhdistä,Tilslut,Tengjast,Bağlan,Prisijungti,Připojit,Kapcsolódás,Połącz,Verbinden,Ligar,Conectar,连接,接続,연결
menu_loading,Loading...,Laddar...,Chargement...,Caricamento...,Lädt …,Cargando...,Загрузка…,Incarcare...,Зареждане...,Вчитување,Lataa...,Indlæser,Hleður...,Yükleniyor...,Kraunama...,Načítání...,Betöltés...,Wczytywanie,Laden…,A carregar...,Carregando...,载入中...,ロード中…,불러오는 중...
menu_ok,OK,Okej,Ok,Ok,OK,Aceptar,ОК,Ok,Ок,Ок,OK,Ok,Í lagi,Tamam,Gerai,Ok,Rendben,OK,OK,OK,Ok,确认,OK,확인
menu_close,Close,Stäng,Fermer,Chiudi,Schließen,Cerrar,Закрыть,Inchide,Затвори,Затвори,Sulje,skjul,Loka,Kapat,Uždaryti,Zavřít,Bezár,Zamknij,Sluiten,Fechar,Fechar,关闭,閉じる,닫기
menu_closemenu,Close Menu,Stäng meny,Fermer le menu,,Menü schließen,Cerrar menú,Закрыть меню,,,,,,,Menüyü Kapat,,,Menü bezárása,Zamknij menu,Menu sluiten,,Fechar menu,关闭菜单,メニューを閉じる,
menu_logout,Logout,Logga ut,Déconnexion,Disconnetti,Ausloggen,Cerrar sesión,Отключиться,Delogare,Излез,Одјави се,Kirjaudu ulos,Log ud,Útskráning,Oturumu kapat,Atsijungti,Odpojit se,Kijelentkezés,Wyloguj,Afmelden,Terminar sessão,Encerrar sessão,返回主菜单,ログアウト,로그아웃
menu_logoutconfirm,Logout?,Logga ut?,Se déconnecter ?,Disconnetti?,Ausloggen?,¿Cerrar sesión?,Отключиться?,Delogare?,Излез?,Дали си сигурен?,Haluatko kirjautua ulos?,vil du gerne logge ud?,Viltu skrá þig út?,Oturumu kapatacak mısın?,Atsijungti?,Odpojit?,Kijelentkezel?,Wylogować?,Afmelden?,Terminar a sessão?,Encerrar a sessão?,确认返回？,ログアウトしますか？,로그아웃하시겠습니까?
menu_exitconfirm,Quit the Game?,Avsluta spelet?,Quitter le jeu ?,Esci dal gioco?,Spiel beenden?,¿Salir del juego?,Выйти из игры?,Iesi din joc?,Излез от играта?,Излез од игра?,Haluatko poistua pelistä?,sluk spillet?,Viltu loka leiknum?,Oyundan çıkacak mısın?,Išeiti iš žaidimo?,Ukončit hru?,Kilépsz a játékból?,Wyjść z gry,Spel afsluiten?,Sair do jogo?,Sair do jogo?,确认退出游戏？,ゲームを終了しますか？,게임을 종료하시겠습니까?
menu_yes,Yes,Ja,Oui,Si,Ja,Sí,Да,Da,Да,Дали си сигурен?,Kyllä,Ja,Já,Evet,Taip,Ano,Igen,Tak,Ja,Sim,Sim,确认,はい,네
menu_no,No,Nej,Non,No,Nein,No,Нет,Nu,Не,Не,Ei,Nej,Nei,Hayır,Ne,Ne,Nem,Nie,Nee,Não,Não,取消,いいえ,아니요
menu_enterpassword,Enter Password,Skriv in lösenord,Entrez le mot de passe,Inserisci password,Passwort eingeben,Introducir contraseña,Введите пароль,Introdu parola,Напиши парола,Напиши лозинка,Kirjoita salasana,Skriv Kodeord,Slá inn lykilorð,Şifre Gir,Įvesti slaptažodį,Zadejte heslo,Jelszó megadása,Wprowadź hasło,Wachtwoord invoeren,Introduz a password,Digite a senha,输入密码,パスワードを入力,비밀번호 입력
menu_password,Password,Lösenord,Mot de passe,Password,Passwort,Contraseña,Пароль,Parola,Парола,Лозинка,Salasana,Kodeord,Lykilorð,Şifre,Slaptažodis,Heslo,Jelszó,Hasło,Wachtwoord,Password,Senha,密码,パスワード,비밀번호
menu_sex,Sex,Kön,Sexe,Sesso,Geschlecht,Sexo,Пол,Sex,Пол,Пол,,Køn,Kyn,Cinsiyet,,Pohlaví,Nem,Płeć,Geslacht,Sexo,Sexo,性别,性別,성별
menu_male,Male,Man,Homme,Maschio,Männlich,Hombre,Мужской,Barbat,Мъж,Маж,,Mand,Karl,Erkek,,Muž,Férfi,Mężczyzna,Man,Masculino,Masculino,男,男性,남성
menu_female,Female,Kvinna,Femme,Femmina,Weiblich,Mujer,Женский,Femeie,Жена,Жена,,Kvinde,Kona,Kadın,,Žena,Nő,Kobieta,Vrouw,Feminino,Feminino,女,女性,여성
menu_removecharacter,Remove Character?,Radera karaktär?,Supprimer le personnage ?,Rimuovi personaggio?,Charakter löschen?,¿Eliminar personaje?,Удалить персонажа?,Sterge personajul?,Изтрий Герои ?,Избриши карактер?,,Fjern Menneske,Fjarlægja karakter?,Karakter silinsin mi?,,Odstranit postavu?,Eltávolítod a karaktert?,Usunąć postać?,Personage verwijderen?,Remover a personagem?,Apagar personagem?,删除角色？,キャラクターを削除しますか？,캐릭터를 제거하시겠습니까?
menu_removeworld,Remove World?,Radera värld?,Supprimer le monde ?,Rimuovi mondo?,Welt löschen?,¿Eliminar mundo?,Удалить мир?,Sterge lumea?,Изтрий Свят ?,Избриши свет?,,Fjern Verden,Fjarlægja heim?,Dünya silinsin mi?,,Odstranit svět?,Eltávolítod a világot?,Usunąć świat?,Wereld verwijderen?,Remover o mundo?,Apagar mundo?,删除世界？,ワールドを削除しますか？,세계를 제거하시겠습니까?
menu_ndaaccept,Accept,Acceptera,Accepter,Accetta,Akzeptieren,Aceptar,Да,,,,,,Staðfesta,Kabul Et,,,Elfogad,Zaakceptuj,Accepteren,Aceitar,Aceitar,接受,受理,수락
menu_ndadecline,Decline,Neka,Refuser,Rifiuta,Ablehnen,Rechazar,Нет,,,,,,Hafna,Reddet,,,Elutasít,Odrzuć,Weigeren,Recusar,Recusar,拒绝,拒否,거절
menu_resettutorial,Reset Tutorial,Återställ handledning,Réinitialiser le tutoriel,Ripristina tutorial,Tutorial zurücksetzen,Reiniciar tutorial,Начать обучение заново,,,,,,Endurræsa kennslu,Eğitimi Sıfırla,,,Oktatás törlése,Zresetuj samouczek,Uitleg resetten,Reiniciar o tutorial,Reiniciar o tutorial,重置教程,チュートリアルをリセット,튜토리얼 초기화
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
feedback_topic,Feedback,Feedback,Retours,Feedback,Feedback,Comentarios,Обратная связь,,,,,,Endurgjöf,Geri Bildirim,,,Visszajelzés,Opinia,Feedback,Feedback,Feedback,反馈,フィードバック,피드백
feedback_subject,Subject,Subjekt,Sujet,Oggetto,Thema,Asunto,Тема,,,,,,Viðfangsefni,Konu,,,Tárgy,Temat,Onderwerp,Assunto,Assunto,主题,件名,제목
feedback_text,Write something,Skriv någonting,Écrivez quelque chose,Scrivi qualcosa,Schreib etwas,Escribe algo,Напишите здесь что-нибудь,,,,,,Skrifaðu eitthvað,Bir şey yaz,,,Írj valamit,Napisz coś,Schrijf iets,Escreve qualquer coisa,Digite algo,写点什么吧,内容を入力,내용을 입력하세요
feedback_send,Send,Skicka,Envoyer,Invia,Senden,Enviar,Отправить,,,,,,Senda,Gönder,,,Küldés,Wyślij,Versturen,Enviar,Enviar,发送,送信,보내기
feedback_bug,Bug,Bug,Bogue,Bug,Fehler,Error,Ошибка,,,,,,Galli,Hata,,,Hiba,Błąd,Bug,Erro,Erro,Bug,バグ,버그
feedback_feedback,Feedback,Feedback,Commentaire,Feedback,Feedback,Comentarios,Обратная связь,,,,,,Endurgjöf,Geri Bildirim,,,Visszajelzés,Opinia,Feedback,Feedback,Feedback,反馈,フィードバック,피드백
feedback_idea,Idea,Idé,Idée,Idea,Idee,Ideas,Идея,,,,,,Hugmynd,Fikir,,,Ötlet,Pomysł,Idee,Ideia,Ideia,想法,アイデア,아이디어
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
error_incompatibleversion,Incompatible version,Ej kompatibel version,Version incompatible,Versione incompatibile,Inkompatible Version,Versión incompatible,Несовместимая версия,Versiune incompatibila,Грешна версия,Погрешна верзија,Peliversio ei ole yhteensopiva,ikke en understøddede version,Ósamrýmanleg útgáfa,Desteklenmeyen sürüm,Nesuderinama versija,Nekompatibilní verze,Inkompatibilis verzió,Niekompatybilna wersja,Niet-compatibele versie,Versão incompatível,Versão incompatível,版本不兼容,バージョンが異なります,호환되지 않는 버전
error_failedconnect,Failed to connect,Anslutning misslyckades,Connexion impossible,Connessione fallita,Verbindung nicht möglich,Error de conexión,Не удалось подключиться,Nu s-a putut conecta,Неуспех при свързването,Неуспешно поврзување,Yhteyden muodostaminen ei onnistunut,Kunne ikke forbinde til servern,Tenging við netþjón mistókst,Bağlantı hatası,Nepavyko prisijungti,Nepodařilo se připojit do hry,Nem sikerült kapcsolódni,Nie udało się połączyć,Verbinding mislukt,Não é possível ligar,Falha ao conectar,连接失败,接続に失敗しました,연결 실패
error_disconnected,Disconnected,Frånkopplad,Déconnecté,Disconnesso,Verbindung unterbrochen,Desconexión,Отключен,Deconectare,Прекъсна връзката,Исклучен,Yhteys katkesi,Afslut forbindelsen,Tenging við netþjón rofnaði,Bağlantı yok,Atjungta,Spojení ukončeno,Szétkapcsolódva,Rozłączono,Verbinding verbroken,Desligado,Desconectado,已断开连接,通信切断,연결 끊어짐
error_password,Wrong password,Fel lösenord,Mot de passe erroné,Password errata,Falsches Passwort,Contraseña incorrecta,Неверный пароль,Parola gresita,Грешна парола,Погрешна лозинка,Väärä salasana,Forkert kodeord,Rangt lykilorð,Yanlış şifre,Neteisingas slaptažodis,Nesprávné heslo,Hibás jelszó,Błędne hasło,Onjuist wachtwoord,Password errada,Senha incorreta,密码错误,パスワードが違います,비밀번호 오류
error_banned,Banned,Bannlyst,Banni,Bannato,Gebannt,Suspensión,Забанен,Banat,Блокиран,Баниран,Estetty,,Aðgangi neitað,Erişim engellendi,,Přístup odepřen,Kitiltva,Zbanowany,Verbannen,Banido,Banido(a),已封禁,禁止措置,차단됨
error_alreadyconnected,Already connected,Redan ansluten,Déjà connecté,,Bereits verbunden,Ya tienes conexión,Уже подключен,,,,,,,Zaten bağlısın,,,Már kapcsolódik,Już połączono,Al verbonden,,Já conectado,已经连接,既に接続されています,
error_serverfull,Server full,Servern e full!,Serveur plein,,Server voll,Servidor lleno,Сервер заполнен,,,,,,,Sunucu dolu,,,Szerver tele van,Pełny serwer,Server is vol,,Servidor cheio,服务器已满员,サーバーが満杯です,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
settings_language,Language,Språk,Langue,Lingua,Sprache,Idioma,Язык,Limba,Език,Јазик,Kieli,Sprog,Tungumál,Dil,Kalba,Jazyk,Nyelv,Język,Taal,Idioma,Idioma,语言,言語,언어
settings_misc,Misc,Blandat,Divers,Varie,Verschiedenes,Misceláneo,Прочее,Diverse,Разни,Разно,Muuta,Blandet,Ýmislegt,Diğer,Įvairūs,Ostatní,Egyéb,Pozostałe,Diversen,Diversos,Outros,其他,その他,기타
settings_requirerestart,Requires restart,Kräver omstart,Redémarrage requis,Richiede riavvio,Neustart erforderlich,Hace falta reiniciar,Требуется перезапуск,Necesita restartare,Налага се рестарт,Потребен е рестарт,Vaatii pelin uudelleenkäynnistämisen,Kræver genstart,Þarfnast endurræsingar,Yeniden başlatman gerek,Reikalauja paleisti iš naujo,Změna vyžaduje restart hry,Újraindítás szükséges,Wymaga restartu,Herstart nodig,É necessário reiniciar,Requer reinicialização,需要重启,再起動が必要です,재시작 필요
settings_controls,Controls,Kontroller,Contrôles,Controlli,Steuerung,Controles,Управление,Setari control,Контроли,Контроли,Kontrollit,Styringer,Stýringar,Kontroller,Valdymas,Ovládání,Irányítás,Sterowanie,Bediening,Controlos,Controles,控制,操作方法,컨트롤
settings_graphics,Graphics,Grafik,Graphismes,Grafica,Grafikeinstellungen,Gráficos,Графика,Setari grafice,Графики,Графика,Grafiikat,Grafik,Grafík,Grafik,Grafika,Grafika,Grafika,Grafika,Graphics,Gráficos,Gráficos,图像,グラフィック,그래픽
settings_audio,Audio,Ljud,Audio,Audio,Musik & Geräusche,Sonido,Звук,Setari audio,Звук,Звук,Äänet,Lyd,Hljóð,Ses,Garsas,Zvuk,Hang,Dźwięk,Audio,Áudio,Áudio,音频,音声,오디오
settings_resetcontrols,Reset Controls,Återställ knappar,Contrôles par défaut,Reset controlli,Tasten zurücksetzen,Reiniciar controles,Управление по умолчанию,Reseteaza setarile,Рестартирайте контролите,Ресетирај контроли,Palauta kontrollit perusasetuksille,Set Styringer til normal,Endurstilla stýringar,Kontrolleri Sıfırla,Atstatyti valdymą,Resetovat nastavení,Alapértelmezett irányítás,Zresetuj ustawienia,Bediening resetten,Reiniciar controlos,Reiniciar controles,重置控制,操作方法をリセット,컨트롤 초기화
settings_mousesens,Mouse Sensitivity,Muskänslighet,Sensibilité de souris,Sensibilità mouse,Mausempfindlichkeit,Sensibilidad del ratón,Чувствительность мыши,Sensitivitate mouse,Скорост на мишката,Брзина на глувче,Hiiren herkkyys,Mus hastighed,Næmi tölvumúsar,Fare Hassasiyeti,Pelės jautrumas,Citlivost myši,Egér érzékenysége,Czułość myszki,Muisgevoeligheid,Sensibilidade do rato,Sensibilidade do mouse,鼠标灵敏度,マウス感度,마우스 감도
settings_attack,Attack,Attack,Attaque,Attacco,Angriff,Atacar,Атака,Atac,Атака,Напад,Iske,Angreb,Árás,Saldır,Pulti,Útok,Támadás,Atak,Aanvallen,Atacar,Atacar,攻击,攻撃,공격
settings_draw,Draw,Dra,Tirer,,Ziehen,Apuntar,Стрельба,,,,,,,Ger,,,,Strzelanie,Trekken,,Sacar,拉弓,弓を引く,
settings_secondaryattack,Secondary Attack,Sekundär attack,Attaque secondaire,Attacco secondario,Sekundärangriff,Ataque secundario,Альтернативная атака,,,,,,Aukaárás,İkincil Saldırı,,,Másodlagos támadás,Atak dodatkowy,Secundaire aanval,Ataque secundário,Ataque secundário,备用攻击,副次攻撃,보조 공격
settings_block,Block,Blocka,Bloquer,Blocco,Blocken,Bloquear,Блок,Blocaj,Блокиране,Блокирање,Torju,Forsvare,Verja,Savunma,Gintis,Blokování,Hárítás,Blok,Blokkeren,Bloquear,Bloquear,格挡,ブロック,막기
settings_dodge,Dodge,Sidohopp,Esquiver,,Ausweichen,Esquivar,Уклонение,,,,,,,Kaçın,,,,Unik,Ontwijken,,Esquivar,闪避,回避,
settings_use,Use,Använd,Utiliser,Usa,Benutzen,Usar,Использовать,Foloseste,Използвай,Користи,Käytä,Brug,Nota,Kullan,Naudoti,Použít,Használ,Użyj,Gebruiken,Usar,Usar,使用,使う,사용
settings_gp,Forsaken Power,Övergiven-kraft,Pouvoir de Déchu,,Wächter-Kraft,Poder de los Desterrados,Сила павшего,,,,,,,Yitik Güç,,,,Moc Porzuconych,Verlatenenkracht,,Poder dos Guardiões,放逐之力,見捨てられしものの力,
